ID ERSAdeg ERSArel
00080011 UN NA 
21500668 UN NA 
00080017 UN NA 
00080014 UN NA 
00290506 UN NA 
00290508 UN NA 
21500666 UN NA 
21500660 UN NA 
21500661 UN NA 
21500662 UN NA 
01702198 UN NA 
01702196 UN NA 
01702194 UN NA 
01702195 UN NA 
01702192 UN NA 
01702190 UN NA 
00212285 UN NA 
00212284 UN NA 
21730699 UN NA 
31180764 UN NA 
00212283 UN NA 
00212282 UN NA 
00212289 UN NA 
00212288 UN NA 
01610429 UN NA 
29960391 UN NA 
29960396 UN NA 
21700514 UN NA 
22930970 UN NA 
29630820 UN NA 
23035093 UN NA 
01242915 UN NA 
06040834 UN NA 
06040835 UN NA 
22742969 UN NA 
22742968 UN NA 
30850372 3rd CO 
22742967 UN NA 
22742966 UN NA 
22742960 UN NA 
22742963 UN NA 
22742962 UN NA 
31160533 UN NA 
29740681 UN NA 
31160530 UN NA 
29740684 UN NA 
31160536 UN NA 
29740686 UN NA 
31160534 UN NA 
03180845 UN NA 
22830543 UN NA 
03180840 UN NA 
03180843 UN NA 
03180842 UN NA 
00690080 UN NA 
00690081 UN NA 
00690082 UN NA 
20003111 UN NA 
00690085 UN NA 
00690086 UN NA 
00690087 UN NA 
00690088 UN NA 
00690089 UN NA 
00220898 UN NA 
01730359 UN NA 
30900421 UN NA 
10200649 UN NA 
22260718 UN NA 
30470797 UN NA 
30470794 UN NA 
10280902 UN NA 
03500739 UN NA 
03500738 UN NA 
03500736 UN NA 
03500735 UN NA 
03500733 UN NA 
00633093 UN NA 
22032276 UN NA 
22032275 UN NA 
22032274 UN NA 
10200648 UN NA 
22032272 UN NA 
22032271 UN NA 
01175192 UN NA 
01730350 UN NA 
22032279 UN NA 
00620104 UN NA 
00620105 UN NA 
00620106 UN NA 
00620107 UN NA 
00620100 UN NA 
00620101 UN NA 
00620102 UN NA 
22354024 UN NA 
00470789 UN NA 
00620108 UN NA 
00620109 UN NA 
30200307 UN NA 
30200308 UN NA 
22583065 UN NA 
22333002 UN NA 
22333003 UN NA 
22333000 UN NA 
00820679 UN NA 
22333006 UN NA 
22333007 UN NA 
22333005 UN NA 
22333008 UN NA 
22333009 UN NA 
01213050 UN NA 
01213056 UN NA 
01213057 UN NA 
01213054 UN NA 
01213055 UN NA 
01213058 UN NA 
10280901 UN NA 
01302948 UN NA 
30340965 UN NA 
30340964 UN NA 
00240625 UN NA 
00240622 UN NA 
00240620 UN NA 
00974024 UN NA 
51530965 UN NA 
51530964 UN NA 
00974022 UN NA 
01770534 UN NA 
10370679 UN NA 
31080981 UN NA 
01812927 UN NA 
00362984 UN NA 
50750868 UN NA 
31080984 UN NA 
31080986 UN NA 
31080989 UN NA 
31080988 UN NA 
