         PAIR_ID  YOUNGER    OLDER  REL      PROB       HSR     N        AV        GP       MHS       PHS  AV_ERROR
   HMB122_HMB941   HMB941   HMB122  PHS  0.978263  0.914336  44.0  0.021737  0.000000  0.000000  0.978263     False
  HMB123_HMB2263  HMB2263   HMB123  PHS  0.949266  0.925942  42.0  0.004797  0.000000  0.045937  0.949266     False
  HMB123_HMB2298  HMB2298   HMB123  PHS  0.827905  0.940934  35.0  0.000130  0.171965  0.000000  0.827905     False
  HMB123_HMB3045  HMB3045   HMB123  PHS  0.999780  0.961771  38.0  0.000220  0.000000  0.000000  0.999780     False
  HMB122_HMB3083  HMB3083   HMB122  PHS  0.999618  0.976776  41.0  0.000382  0.000000  0.000000  0.999618     False
  HMB129_HMB3093  HMB3093   HMB129   AV  0.857280  0.924072  57.0  0.857280  0.001011  0.000000  0.141710     False
  HMB123_HMB5141  HMB5141   HMB123  PHS  0.999989  0.970348  30.0  0.000011  0.000000  0.000000  0.999989     False
  HMB135_HMB2291   HMB135  HMB2291  PHS  0.908733  0.966992  43.0  0.001108  0.000000  0.090159  0.908733     False
  HMB136_HMB3111  HMB3111   HMB136  PHS  0.999927  0.973484  36.0  0.000073  0.000000  0.000000  0.999927     False
   HMB150_HMB379   HMB150   HMB379   GP  0.914305  0.822081  34.0  0.002012  0.914305  0.000000  0.083683     False
  HMB1174_HMB150  HMB1174   HMB150  MHS  0.666032  0.980434  51.0  0.006589  0.000000  0.666032  0.327379     False
  HMB150_HMB2224  HMB2224   HMB150  MHS  0.608494  0.927241  50.0  0.062730  0.000000  0.608494  0.328776     False
  HMB146_HMB2302   HMB146  HMB2302   GP  0.967952  0.755825  36.0  0.022164  0.967952  0.000000  0.009885     False
  HMB147_HMB2300   HMB147  HMB2300  PHS  0.994735  0.990245  49.0  0.005265  0.000000  0.000000  0.994735     False
  HMB156_HMB2900  HMB2900   HMB156   GP  0.708256  0.858191  29.0  0.000123  0.708256  0.000000  0.291620     False
  HMB150_HMB2977  HMB2977   HMB150  PHS  0.999446  0.957289  40.0  0.000554  0.000000  0.000000  0.999446     False
  HMB147_HMB3012   HMB147  HMB3012  PHS  0.993129  0.975043  48.0  0.006871  0.000000  0.000000  0.993129     False
  HMB156_HMB3049  HMB3049   HMB156  PHS  0.716415  0.908047  49.0  0.234273  0.049312  0.000000  0.716415     False
   HMB157_HMB158   HMB158   HMB157   AV  0.425434  0.880059  50.0  0.425434  0.000000  0.392458  0.182107      True
