               PAIR_ID        IID1        H1        IID2        H2       HSR   N
   SampleAA1_SampleAE2   SampleAA1  0.811941   SampleAE2  0.902609  0.899549  20
   SampleAA1_SampleAE3   SampleAA1  0.689758   SampleAE3  0.724656  0.951843  23
   SampleAA3_SampleAD7   SampleAA3  0.882190   SampleAD7  0.821354  0.931040  21
   SampleAA3_SampleAD8   SampleAA3  0.672550   SampleAD8  0.694415  0.968513  19
   SampleAA3_SampleAD9   SampleAA3  0.855674   SampleAD9  0.733502  0.857221  22
  SampleAA3_SampleAD10   SampleAA3  0.844406  SampleAD10  0.836081  0.990141  14
   SampleAA3_SampleAE0   SampleAA3  0.836466   SampleAE0  0.769589  0.920049  18
   SampleAA3_SampleAE1   SampleAA3  0.724860   SampleAE1  0.798056  0.908283  20
   SampleAA3_SampleAE2   SampleAA3  0.754094   SampleAE2  0.832525  0.905792  17
   SampleAA3_SampleAE3   SampleAA3  0.844422   SampleAE3  0.822310  0.973815  22
   SampleAA4_SampleAD7   SampleAA4  0.700909   SampleAD7  0.800320  0.875786  20
   SampleAA4_SampleAD8   SampleAA4  0.869159   SampleAD8  0.924101  0.940546  28
   SampleAA4_SampleAD9   SampleAA4  0.937606   SampleAD9  0.909478  0.970000  35
  SampleAA4_SampleAD10   SampleAA4  0.887150  SampleAD10  0.859057  0.968334  24
   SampleAA4_SampleAE0   SampleAA4  0.740588   SampleAE0  0.904554  0.818733  24
   SampleAA4_SampleAE1   SampleAA4  0.731696   SampleAE1  0.815921  0.896774  22
   SampleAA4_SampleAE2   SampleAA4  0.831843   SampleAE2  0.898455  0.925859  15
   SampleAA4_SampleAE3   SampleAA4  0.885084   SampleAE3  0.786849  0.889010  21
   SampleAA5_SampleAD7   SampleAA5  0.748703   SampleAD7  0.821740  0.911119  17
   SampleAA5_SampleAD8   SampleAA5  0.884132   SampleAD8  0.919443  0.961595  18
   SampleAA5_SampleAD9   SampleAA5  0.863796   SampleAD9  0.839833  0.972259  28
  SampleAA5_SampleAD10   SampleAA5  0.929548  SampleAD10  0.819981  0.882129  23
   SampleAA5_SampleAE0   SampleAA5  0.685870   SampleAE0  0.809598  0.847174  32
   SampleAA5_SampleAE1   SampleAA5  0.751885   SampleAE1  0.822274  0.914398  17
   SampleAA5_SampleAE2   SampleAA5  0.859271   SampleAE2  0.634858  0.738834  17
   SampleAA5_SampleAE3   SampleAA5  0.725875   SampleAE3  0.709072  0.976853  21
   SampleAA6_SampleAD7   SampleAA6  0.805909   SampleAD7  0.935497  0.861477  25
