              PAIR_ID     YOUNGER      OLDER  REL      PROB       HSR      N        AV        GP       MHS           PHS  AV_ERROR
  SampleAI1_SampleAJ2   SampleAJ2  SampleAI1  MHS  0.879970  0.950928   90.0  0.077918  0.000000  0.879970  4.211208e-02     False
  SampleAI1_SampleAO2   SampleAO2  SampleAI1   AV  0.530839  0.898811   93.0  0.530839  0.000000  0.459159  1.000227e-02     False
  SampleAJ4_SampleAO6   SampleAJ4  SampleAO6   AV  1.000000  0.824143   70.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAJ2_SampleAQ3   SampleAJ2  SampleAQ3   AV  0.988831  0.809347   95.0  0.988831  0.000000  0.011052  1.168680e-04     False
  SampleAJ5_SampleAO6   SampleAJ5  SampleAO6   AV  1.000000  0.837526   68.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAK0_SampleAT3   SampleAK0  SampleAT3  MHS  0.919593  0.978638   89.0  0.021016  0.000000  0.919593  5.939118e-02     False
  SampleAK1_SampleAV0   SampleAV0  SampleAK1   AV  0.834454  0.854024   77.0  0.834454  0.000000  0.114134  5.141247e-02     False
  SampleAK0_SampleAX0   SampleAK0  SampleAX0  MHS  0.934459  0.986950   90.0  0.014592  0.000000  0.934459  5.094882e-02     False
  SampleAK2_SampleAP3   SampleAK2  SampleAP3   AV  0.995930  0.786391   91.0  0.995930  0.000000  0.003984  8.608613e-05     False
  SampleAK6_SampleAT6   SampleAT6  SampleAK6  MHS  0.668619  0.981177   79.0  0.011118  0.000000  0.668619  3.202628e-01     False
  SampleAK2_SampleAU1   SampleAK2  SampleAU1  MHS  0.432286  0.898382   78.0  0.380410  0.000000  0.432286  1.873037e-01     False
  SampleAL2_SampleAR1   SampleAL2  SampleAR1  MHS  0.898305  0.989197   87.0  0.011871  0.000000  0.898305  8.982420e-02     False
  SampleAL3_SampleAS1   SampleAS1  SampleAL3  MHS  0.839282  0.939064   93.0  0.139567  0.000000  0.839282  2.115102e-02     False
  SampleAL2_SampleAT2   SampleAT2  SampleAL2  MHS  0.623841  0.946253   78.0  0.054708  0.000000  0.623841  3.214503e-01     False
  SampleAM1_SampleAP0   SampleAP0  SampleAM1   AV  0.494226  0.896947   85.0  0.494226  0.000000  0.457010  4.876390e-02     False
  SampleAN3_SampleAV1   SampleAN3  SampleAV1  MHS  0.984222  0.997152  104.0  0.012365  0.000000  0.984222  3.412041e-03     False
  SampleAO2_SampleAQ3   SampleAO2  SampleAQ3   AV  0.997328  0.774907   86.0  0.997328  0.000000  0.002530  1.421786e-04     False
  SampleAP6_SampleAQ4   SampleAQ4  SampleAP6   AV  1.000000  0.953260   82.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAP6_SampleAQ5   SampleAQ5  SampleAP6   AV  1.000000  0.960367   88.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAP6_SampleAQ7   SampleAQ7  SampleAP6   AV  1.000000  0.994653   94.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAP6_SampleAQ8   SampleAQ8  SampleAP6   AV  1.000000  0.959483   81.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAR1_SampleAT2   SampleAT2  SampleAR1  MHS  0.870469  0.968166   86.0  0.031066  0.000000  0.870469  9.846417e-02     False
  SampleAR6_SampleAY4   SampleAY4  SampleAR6   AV  1.000000  0.943160   89.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAR6_SampleAY5   SampleAR6  SampleAY5   AV  1.000000  0.999663   99.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAT1_SampleAZ1   SampleAZ1  SampleAT1  MHS  0.628078  0.952344   78.0  0.041074  0.000000  0.628078  3.308487e-01     False
  SampleAV6_SampleAZ5   SampleAV6  SampleAZ5   AV  1.000000  0.871268   98.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAW2_SampleAY2   SampleAW2  SampleAY2   AV  0.833007  0.879835  121.0  0.833007  0.000000  0.166981  1.275210e-05     False
  SampleAW6_SampleAX4   SampleAX4  SampleAW6   AV  1.000000  0.681528   88.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAW6_SampleAX5   SampleAX5  SampleAW6   AV  1.000000  0.732285   78.0  1.000000  0.000000  0.000000  0.000000e+00     False
  SampleAZ0_SampleAZ2   SampleAZ2  SampleAZ0  MHS  0.463335  0.899520   80.0  0.401391  0.000000  0.463335  1.352749e-01     False
